Booking_ID,Booking_Date,Check_in_Date,Check_out_Date,Room_Type,Rate_Plan,Booked_Rate,Number_of_Nights,Number_of_Guests,Booking_Channel,Cancellation_Status,Revenue_Generated
BKG00016,2024-11-28,2025-01-01,2025-01-04,Standard,Early Bird (> 30 days),1141461.29,3,2,OTA,Confirmed,3424383.87
BKG00017,2024-11-09,2025-01-01,2025-01-03,Standard,Early Bird (> 30 days),1170162.73,2,3,Direct,Confirmed,2340325.46
BKG00018,2024-11-12,2025-01-01,2025-01-06,Standard,Early Bird (> 30 days) + Member,1097262.63,5,1,OTA,Confirmed,5486313.149999999
BKG00019,2024-12-09,2025-01-01,2025-01-04,Standard,BAR,1430570.76,3,3,Website,Confirmed,4291712.28
BKG00020,2024-12-29,2025-01-01,2025-01-07,Standard,BAR + Member,1267138.32,6,2,Direct,Confirmed,7602829.92
BKG00021,2024-12-25,2025-01-01,2025-01-04,Standard,Non-Refundable + Member,1133060.74,3,2,Direct,Confirmed,3399182.2199999997
BKG00022,2024-12-01,2025-01-01,2025-01-03,Standard,Early Bird (> 30 days),1151545.99,2,1,OTA,Confirmed,2303091.98
BKG00023,2024-11-23,2025-01-01,2025-01-04,Standard,Early Bird (> 30 days),1147592.98,3,2,OTA,Cancelled,0.0
BKG00024,2024-11-25,2025-01-01,2025-01-05,Standard,Early Bird (> 30 days),1249617.12,4,1,Walk-in,Confirmed,4998468.48
BKG00025,2024-12-24,2025-01-01,2025-01-03,Standard,BAR,1357284.5,2,2,Website,Confirmed,2714569.0
BKG00026,2024-11-12,2025-01-01,2025-01-02,Standard,Early Bird (> 30 days),1138803.28,1,3,Direct,Confirmed,1138803.28
BKG00027,2024-10-04,2025-01-01,2025-01-08,Standard,Early Bird (> 30 days),1192983.65,7,2,OTA,Confirmed,8350885.549999999
BKG00028,2024-11-07,2025-01-01,2025-01-06,Standard,Early Bird (> 30 days),1149580.45,5,2,Walk-in,Confirmed,5747902.25
BKG00029,2024-11-04,2025-01-01,2025-01-04,Standard,Early Bird (> 30 days),1188350.21,3,3,OTA,Confirmed,3565050.63
BKG00030,2024-11-21,2025-01-01,2025-01-05,Standard,Early Bird (> 30 days) + Member,1046748.74,4,3,Direct,Confirmed,4186994.96
BKG00031,2024-12-09,2025-01-01,2025-01-06,Standard,Corporate + Member,1320113.73,5,1,Direct,Confirmed,6600568.65
BKG00032,2024-10-08,2025-01-01,2025-01-06,Deluxe,Early Bird (> 30 days),1392215.04,5,1,Walk-in,Confirmed,6961075.2
BKG00033,2024-10-12,2025-01-01,2025-01-05,Deluxe,Early Bird (> 30 days),1388592.8,4,3,Website,Confirmed,5554371.2
BKG00034,2024-11-02,2025-01-01,2025-01-06,Deluxe,Early Bird (> 30 days) + Member,1261634.09,5,3,Website,Confirmed,6308170.45
BKG00035,2024-11-16,2025-01-01,2025-01-05,Deluxe,Early Bird (> 30 days),1377477.54,4,1,Website,Confirmed,5509910.16
BKG00036,2024-11-12,2025-01-01,2025-01-05,Deluxe,Early Bird (> 30 days) + Member,1157814.32,4,1,Website,Confirmed,4631257.28
BKG00037,2024-11-22,2025-01-01,2025-01-06,Deluxe,Early Bird (> 30 days) + Member,1214703.25,5,1,Direct,Confirmed,6073516.25
BKG00038,2024-10-11,2025-01-01,2025-01-03,Deluxe,Early Bird (> 30 days),1317511.82,2,2,Website,Confirmed,2635023.64
BKG00039,2024-11-09,2025-01-01,2025-01-08,Deluxe,Early Bird (> 30 days),1401666.51,7,2,Direct,Confirmed,9811665.57
BKG00040,2024-10-22,2025-01-01,2025-01-02,Deluxe,Early Bird (> 30 days),1309312.7,1,2,OTA,Confirmed,1309312.7
BKG00041,2024-12-27,2025-01-01,2025-01-06,Deluxe,BAR,1619183.18,5,3,Website,Confirmed,8095915.899999999
BKG00042,2024-12-21,2025-01-01,2025-01-02,Deluxe,Non-Refundable,1492796.8,1,1,OTA,Confirmed,1492796.8
BKG00043,2024-10-31,2025-01-01,2025-01-05,Deluxe,Early Bird (> 30 days) + Member,1229810.28,4,3,Website,Confirmed,4919241.12
BKG00044,2024-11-26,2025-01-01,2025-01-06,Deluxe,Early Bird (> 30 days),1381326.63,5,2,OTA,Confirmed,6906633.149999999
BKG00045,2024-12-26,2025-01-01,2025-01-04,Suite,Non-Refundable,2342717.88,3,1,OTA,Confirmed,7028153.64
BKG00046,2024-12-19,2025-01-01,2025-01-04,Suite,BAR,2351743.61,3,2,Direct,Confirmed,7055230.83
BKG00047,2024-10-14,2025-01-01,2025-01-03,Suite,Early Bird (> 30 days) + Member,1947427.55,2,1,OTA,Confirmed,3894855.1
BKG00048,2024-12-18,2025-01-01,2025-01-05,Suite,BAR,2472265.63,4,2,OTA,Confirmed,9889062.52
BKG00049,2024-12-05,2025-01-01,2025-01-03,Suite,Non-Refundable + Member,2107523.71,2,1,Website,Confirmed,4215047.42
BKG00050,2024-11-21,2025-01-01,2025-01-05,Suite,Early Bird (> 30 days) + Member,1791121.58,4,3,Direct,Confirmed,7164486.32
BKG00051,2024-11-29,2025-01-01,2025-01-06,Suite,Early Bird (> 30 days) + Member,1815735.72,5,1,Direct,Confirmed,9078678.6
BKG00052,2024-12-22,2025-01-02,2025-01-05,Standard,Non-Refundable,1320973.17,3,1,OTA,Confirmed,3962919.51
BKG00053,2024-11-27,2025-01-02,2025-01-04,Standard,Early Bird (> 30 days) + Member,1111972.09,2,2,Direct,Cancelled,0.0
BKG00054,2024-12-15,2025-01-02,2025-01-03,Standard,Corporate,1492512.33,1,1,OTA,Confirmed,1492512.33
BKG00055,2024-11-27,2025-01-02,2025-01-03,Standard,Early Bird (> 30 days),1209953.55,1,3,Direct,Cancelled,0.0
BKG00056,2024-11-27,2025-01-02,2025-01-06,Standard,Early Bird (> 30 days) + Member,1061552.12,4,2,Direct,Confirmed,4246208.48
BKG00057,2024-11-29,2025-01-02,2025-01-09,Standard,Early Bird (> 30 days) + Member,1092521.37,7,2,Website,Confirmed,7647649.590000001
BKG00058,2024-10-09,2025-01-02,2025-01-04,Standard,Early Bird (> 30 days) + Member,1033351.94,2,2,Website,Confirmed,2066703.88
BKG00059,2024-12-03,2025-01-03,2025-01-06,Standard,Early Bird (> 30 days) + Member,1067686.8,3,2,OTA,Confirmed,3203060.4000000004
BKG00060,2024-11-29,2025-01-03,2025-01-06,Standard,Early Bird (> 30 days),1248777.83,3,2,Walk-in,Confirmed,3746333.49
BKG00061,2024-12-08,2025-01-03,2025-01-09,Deluxe,BAR,1561835.59,6,1,Website,Confirmed,9371013.540000001
BKG00062,2024-11-08,2025-01-03,2025-01-07,Deluxe,Early Bird (> 30 days) + Member,1194239.52,4,1,Direct,Confirmed,4776958.08
BKG00063,2024-11-21,2025-01-03,2025-01-06,Deluxe,Early Bird (> 30 days),1381078.56,3,2,Website,Confirmed,4143235.68
BKG00064,2024-12-01,2025-01-03,2025-01-04,Deluxe,Early Bird (> 30 days),1373860.74,1,3,OTA,Confirmed,1373860.74
BKG00065,2024-10-15,2025-01-03,2025-01-08,Deluxe,Early Bird (> 30 days) + Member,1175993.2,5,1,Direct,Confirmed,5879966.0
BKG00066,2024-12-11,2025-01-03,2025-01-04,Suite,Non-Refundable,2272025.7,1,1,Direct,Confirmed,2272025.7
BKG00067,2024-12-01,2025-01-03,2025-01-05,Suite,Early Bird (> 30 days),1996244.77,2,1,Website,Confirmed,3992489.54
BKG00068,2024-12-31,2025-01-03,2025-01-05,Suite,Non-Refundable,2251153.24,2,2,Website,Confirmed,4502306.48
BKG00069,2024-12-12,2025-01-03,2025-01-07,Suite,Non-Refundable,2250816.25,4,3,OTA,Confirmed,9003265.0
BKG00070,2024-12-14,2025-01-04,2025-01-10,Standard,Corporate,1457220.68,6,1,OTA,Confirmed,8743324.08
BKG00071,2024-12-12,2025-01-04,2025-01-09,Standard,BAR,1449847.63,5,1,Direct,Confirmed,7249238.149999999
BKG00072,2024-12-09,2025-01-04,2025-01-05,Standard,BAR,1364212.88,1,2,Website,Confirmed,1364212.88
BKG00073,2024-12-28,2025-01-04,2025-01-08,Standard,Corporate,1462713.54,4,3,OTA,Confirmed,5850854.16
BKG00074,2024-11-28,2025-01-04,2025-01-07,Standard,Early Bird (> 30 days),1167550.94,3,1,OTA,Confirmed,3502652.82
BKG00075,2024-10-18,2025-01-04,2025-01-08,Standard,Early Bird (> 30 days),1198246.77,4,2,OTA,Confirmed,4792987.08
BKG00076,2024-12-19,2025-01-04,2025-01-10,Standard,BAR,1363523.75,6,2,Website,Confirmed,8181142.5
BKG00077,2024-10-19,2025-01-04,2025-01-05,Standard,Early Bird (> 30 days) + Member,1067364.67,1,1,Direct,Cancelled,0.0
BKG00078,2024-11-24,2025-01-04,2025-01-07,Standard,Early Bird (> 30 days) + Member,1032931.21,3,1,OTA,Confirmed,3098793.63
BKG00079,2024-11-25,2025-01-04,2025-01-08,Standard,Early Bird (> 30 days) + Member,1107506.68,4,3,Walk-in,Confirmed,4430026.72
BKG00080,2024-10-08,2025-01-04,2025-01-05,Standard,Early Bird (> 30 days),1247613.63,1,1,Website,Confirmed,1247613.63
BKG00081,2024-10-13,2025-01-04,2025-01-10,Standard,Early Bird (> 30 days) + Member,1089749.1,6,1,Direct,Confirmed,6538494.600000001
BKG00082,2024-10-14,2025-01-04,2025-01-07,Standard,Early Bird (> 30 days),1136079.76,3,1,Walk-in,Confirmed,3408239.2800000003
BKG00083,2024-12-23,2025-01-04,2025-01-09,Standard,BAR,1416682.83,5,2,OTA,Confirmed,7083414.15
BKG00084,2024-12-31,2025-01-04,2025-01-05,Standard,Corporate,1504342.95,1,3,OTA,Cancelled,0.0
BKG00085,2024-10-23,2025-01-04,2025-01-08,Standard,Early Bird (> 30 days) + Member,1034903.14,4,1,Website,Confirmed,4139612.56
BKG00086,2024-12-06,2025-01-04,2025-01-07,Suite,Non-Refundable,2206852.84,3,3,OTA,Confirmed,6620558.52
BKG00087,2024-10-10,2025-01-04,2025-01-06,Suite,Early Bird (> 30 days),2132080.53,2,2,OTA,Confirmed,4264161.06
BKG00088,2024-12-29,2025-01-05,2025-01-10,Standard,Corporate,1481921.58,5,1,Website,Confirmed,7409607.9
BKG00089,2024-11-16,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days) + Member,1056099.05,1,2,Walk-in,Cancelled,0.0
BKG00090,2024-11-05,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days) + Member,1081571.16,1,3,Direct,Confirmed,1081571.16
BKG00091,2024-12-06,2025-01-05,2025-01-10,Standard,BAR,1354959.45,5,2,OTA,Cancelled,0.0
BKG00092,2024-11-12,2025-01-05,2025-01-10,Standard,Early Bird (> 30 days) + Member,1064152.66,5,3,Direct,Confirmed,5320763.3
BKG00093,2024-12-03,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days),1207817.86,1,3,Walk-in,Confirmed,1207817.86
BKG00094,2024-12-29,2025-01-05,2025-01-09,Standard,Corporate,1427049.58,4,3,Direct,Confirmed,5708198.32
BKG00095,2024-11-22,2025-01-05,2025-01-09,Standard,Early Bird (> 30 days),1171570.57,4,1,Website,Confirmed,4686282.28
BKG00096,2024-11-05,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days) + Member,1117230.03,1,2,Website,Confirmed,1117230.03
BKG00097,2024-12-28,2025-01-05,2025-01-09,Standard,Corporate,1465400.69,4,2,Direct,Confirmed,5861602.76
BKG00098,2024-10-28,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days),1181907.91,1,1,OTA,Confirmed,1181907.91
BKG00099,2024-10-09,2025-01-05,2025-01-08,Standard,Early Bird (> 30 days) + Member,1063123.47,3,2,Direct,Confirmed,3189370.41
BKG00100,2024-12-20,2025-01-05,2025-01-08,Standard,Non-Refundable + Member,1160229.01,3,3,Direct,Confirmed,3480687.0300000003
BKG00101,2024-11-03,2025-01-05,2025-01-06,Standard,Early Bird (> 30 days) + Member,1083635.42,1,3,Direct,Confirmed,1083635.42
BKG00102,2024-12-31,2025-01-05,2025-01-08,Standard,BAR,1350574.65,3,1,Website,Confirmed,4051723.9499999997
BKG00103,2024-10-30,2025-01-05,2025-01-10,Standard,Early Bird (> 30 days),1166222.22,5,2,Direct,Confirmed,5831111.1
BKG00104,2024-10-15,2025-01-05,2025-01-09,Standard,Early Bird (> 30 days),1242488.9,4,2,Website,Confirmed,4969955.6
BKG00105,2024-10-31,2025-01-05,2025-01-09,Standard,Early Bird (> 30 days) + Member,1038499.58,4,2,Direct,Confirmed,4153998.32
BKG00106,2024-11-22,2025-01-05,2025-01-07,Standard,Early Bird (> 30 days),1188020.16,2,1,Direct,Confirmed,2376040.32
BKG00107,2024-10-30,2025-01-05,2025-01-10,Standard,Early Bird (> 30 days),1201174.57,5,2,OTA,Confirmed,6005872.850000001
BKG00108,2024-12-18,2025-01-05,2025-01-10,Standard,Non-Refundable,1345366.33,5,1,OTA,Confirmed,6726831.65
BKG00109,2024-11-05,2025-01-05,2025-01-07,Suite,Early Bird (> 30 days) + Member,1778089.82,2,3,OTA,Confirmed,3556179.64
BKG00110,2024-12-14,2025-01-06,2025-01-08,Standard,Corporate + Member,1332436.51,2,3,Website,Confirmed,2664873.02
BKG00111,2024-11-21,2025-01-06,2025-01-09,Standard,Early Bird (> 30 days),1180476.53,3,2,Website,Confirmed,3541429.59
BKG00112,2024-12-04,2025-01-06,2025-01-10,Deluxe,Early Bird (> 30 days),1285055.69,4,2,OTA,Confirmed,5140222.76
BKG00113,2024-12-20,2025-01-06,2025-01-10,Deluxe,BAR,1510076.07,4,2,Website,Confirmed,6040304.28
BKG00114,2024-11-04,2025-01-06,2025-01-10,Deluxe,Early Bird (> 30 days),1280176.81,4,1,Direct,Confirmed,5120707.24
BKG00115,2024-10-17,2025-01-06,2025-01-11,Deluxe,Early Bird (> 30 days),1308443.03,5,2,Direct,Confirmed,6542215.15
BKG00116,2024-12-15,2025-01-06,2025-01-09,Deluxe,BAR + Member,1392232.87,3,2,Direct,Confirmed,4176698.6100000003
BKG00117,2024-11-30,2025-01-06,2025-01-08,Deluxe,Early Bird (> 30 days),1360584.73,2,1,Direct,Confirmed,2721169.46
BKG00118,2024-12-22,2025-01-06,2025-01-07,Deluxe,Corporate,1727975.86,1,3,Website,Confirmed,1727975.86
BKG00119,2024-12-26,2025-01-06,2025-01-08,Deluxe,Corporate + Member,1556590.93,2,3,Website,Confirmed,3113181.86
BKG00120,2024-11-01,2025-01-06,2025-01-11,Suite,Early Bird (> 30 days),2072920.4,5,3,OTA,Confirmed,10364602.0
BKG00121,2024-12-17,2025-01-06,2025-01-11,Suite,BAR + Member,2098961.62,5,3,Walk-in,Confirmed,10494808.100000001
BKG00122,2024-11-28,2025-01-06,2025-01-09,Suite,Early Bird (> 30 days) + Member,1837799.63,3,1,Website,Confirmed,5513398.89
BKG00123,2024-12-21,2025-01-06,2025-01-11,Suite,BAR,2530298.88,5,1,Direct,Confirmed,12651494.399999999
BKG00124,2024-11-21,2025-01-06,2025-01-11,Suite,Early Bird (> 30 days),2031285.32,5,3,Walk-in,Confirmed,10156426.6
BKG00125,2024-11-21,2025-01-07,2025-01-13,Standard,Early Bird (> 30 days),1246332.18,6,3,OTA,Confirmed,7477993.08
BKG00126,2024-11-08,2025-01-07,2025-01-14,Standard,Early Bird (> 30 days),1197206.09,7,2,OTA,Cancelled,0.0
BKG00127,2024-10-17,2025-01-07,2025-01-12,Standard,Early Bird (> 30 days),1154553.19,5,2,Website,Confirmed,5772765.949999999
BKG00128,2024-10-22,2025-01-07,2025-01-09,Standard,Early Bird (> 30 days),1200255.38,2,3,OTA,Confirmed,2400510.76
BKG00129,2024-12-28,2025-01-07,2025-01-10,Standard,BAR + Member,1279735.51,3,1,Website,Confirmed,3839206.5300000003
BKG00130,2024-11-05,2025-01-07,2025-01-10,Standard,Early Bird (> 30 days) + Member,1089367.2,3,3,Website,Confirmed,3268101.5999999996
BKG00131,2024-11-03,2025-01-07,2025-01-12,Standard,Early Bird (> 30 days),1181375.14,5,3,Website,Confirmed,5906875.699999999
BKG00132,2024-11-02,2025-01-07,2025-01-12,Standard,Early Bird (> 30 days),1144496.67,5,1,OTA,Confirmed,5722483.35
BKG00133,2024-12-05,2025-01-07,2025-01-08,Standard,Early Bird (> 30 days),1196715.97,1,1,Website,Confirmed,1196715.97
BKG00134,2024-11-20,2025-01-07,2025-01-09,Standard,Early Bird (> 30 days) + Member,1040539.68,2,2,Direct,Confirmed,2081079.36
BKG00135,2024-11-14,2025-01-07,2025-01-09,Standard,Early Bird (> 30 days),1246149.87,2,1,OTA,Confirmed,2492299.74
BKG00136,2024-11-07,2025-01-07,2025-01-09,Standard,Early Bird (> 30 days),1238078.92,2,3,Direct,Cancelled,0.0
BKG00137,2024-12-31,2025-01-07,2025-01-08,Standard,Non-Refundable,1320092.11,1,1,Website,Cancelled,0.0
BKG00138,2024-11-16,2025-01-07,2025-01-13,Standard,Early Bird (> 30 days) + Member,1025486.85,6,1,Direct,Confirmed,6152921.1
BKG00139,2024-10-21,2025-01-07,2025-01-10,Standard,Early Bird (> 30 days),1223545.46,3,3,OTA,Confirmed,3670636.38
BKG00140,2024-12-07,2025-01-07,2025-01-09,Standard,Early Bird (> 30 days),1233626.13,2,1,OTA,Confirmed,2467252.26
BKG00141,2024-10-10,2025-01-07,2025-01-10,Standard,Early Bird (> 30 days),1152637.34,3,1,Website,Confirmed,3457912.0200000005
BKG00142,2024-11-24,2025-01-07,2025-01-11,Standard,Early Bird (> 30 days),1163560.95,4,1,OTA,Confirmed,4654243.8
BKG00143,2024-11-30,2025-01-07,2025-01-11,Standard,Early Bird (> 30 days) + Member,1107896.37,4,3,OTA,Cancelled,0.0
BKG00144,2024-10-26,2025-01-07,2025-01-10,Standard,Early Bird (> 30 days),1197266.04,3,3,Website,Confirmed,3591798.12
BKG00145,2024-12-19,2025-01-07,2025-01-13,Standard,BAR,1331083.29,6,1,Walk-in,Confirmed,7986499.74
BKG00146,2024-12-20,2025-01-07,2025-01-08,Deluxe,Corporate + Member,1574657.18,1,3,Walk-in,Confirmed,1574657.18
BKG00147,2024-11-01,2025-01-07,2025-01-13,Deluxe,Early Bird (> 30 days),1392254.86,6,2,OTA,Confirmed,8353529.16
BKG00148,2024-10-28,2025-01-07,2025-01-10,Deluxe,Early Bird (> 30 days),1293371.96,3,3,OTA,Confirmed,3880115.88
BKG00149,2024-11-14,2025-01-07,2025-01-10,Deluxe,Early Bird (> 30 days),1298263.24,3,1,Website,Confirmed,3894789.7199999997
BKG00150,2024-10-24,2025-01-07,2025-01-12,Deluxe,Early Bird (> 30 days) + Member,1272452.31,5,1,Direct,Confirmed,6362261.550000001
BKG00151,2024-10-09,2025-01-07,2025-01-13,Suite,Early Bird (> 30 days) + Member,1936715.11,6,2,Walk-in,Confirmed,11620290.66
BKG00152,2024-10-20,2025-01-07,2025-01-10,Suite,Early Bird (> 30 days) + Member,1777872.66,3,1,OTA,Confirmed,5333617.9799999995
BKG00153,2024-12-07,2025-01-08,2025-01-13,Deluxe,Early Bird (> 30 days),1374897.37,5,2,OTA,Confirmed,6874486.850000001
BKG00154,2024-10-30,2025-01-08,2025-01-11,Deluxe,Early Bird (> 30 days) + Member,1263012.53,3,3,Direct,Confirmed,3789037.59
BKG00155,2024-12-11,2025-01-09,2025-01-13,Standard,BAR,1393438.71,4,2,Website,Cancelled,0.0
BKG00156,2024-11-24,2025-01-09,2025-01-14,Standard,Early Bird (> 30 days),1197388.01,5,3,Website,Confirmed,5986940.05
BKG00157,2024-11-01,2025-01-09,2025-01-11,Standard,Early Bird (> 30 days),1207016.0,2,3,OTA,Confirmed,2414032.0
BKG00158,2024-11-02,2025-01-09,2025-01-12,Standard,Early Bird (> 30 days),1226649.12,3,1,Direct,Confirmed,3679947.3600000003
BKG00159,2024-10-19,2025-01-09,2025-01-11,Standard,Early Bird (> 30 days),1142821.92,2,3,OTA,Confirmed,2285643.84
BKG00160,2024-10-16,2025-01-09,2025-01-15,Standard,Early Bird (> 30 days),1228365.36,6,3,OTA,Confirmed,7370192.16
BKG00161,2024-12-03,2025-01-09,2025-01-14,Standard,Early Bird (> 30 days),1157592.2,5,1,OTA,Confirmed,5787961.0
BKG00162,2024-10-21,2025-01-09,2025-01-14,Standard,Early Bird (> 30 days),1157185.2,5,1,OTA,Confirmed,5785926.0
BKG00163,2024-10-16,2025-01-09,2025-01-12,Standard,Early Bird (> 30 days),1206143.2,3,2,Website,Cancelled,0.0
BKG00164,2024-10-15,2025-01-09,2025-01-14,Standard,Early Bird (> 30 days) + Member,1070307.16,5,2,Direct,Cancelled,0.0
BKG00165,2024-12-19,2025-01-09,2025-01-10,Deluxe,BAR + Member,1413293.55,1,2,Direct,Confirmed,1413293.55
BKG00166,2024-11-29,2025-01-10,2025-01-12,Standard,Early Bird (> 30 days),1133853.05,2,2,OTA,Confirmed,2267706.1
BKG00167,2024-12-07,2025-01-10,2025-01-15,Standard,Early Bird (> 30 days),1234436.64,5,3,Walk-in,Confirmed,6172183.199999999
BKG00168,2024-11-11,2025-01-10,2025-01-13,Standard,Early Bird (> 30 days),1237481.61,3,2,Website,Confirmed,3712444.83
BKG00169,2024-11-24,2025-01-10,2025-01-14,Standard,Early Bird (> 30 days),1152596.63,4,1,Website,Confirmed,4610386.52
BKG00170,2024-12-16,2025-01-10,2025-01-13,Standard,Non-Refundable,1315686.58,3,3,Walk-in,Cancelled,0.0
BKG00171,2024-12-31,2025-01-10,2025-01-13,Standard,Corporate,1494160.88,3,3,Direct,Confirmed,4482482.64
BKG00172,2024-10-12,2025-01-10,2025-01-16,Standard,Early Bird (> 30 days) + Member,1101093.2,6,2,Walk-in,Confirmed,6606559.199999999
BKG00173,2024-12-22,2025-01-10,2025-01-13,Standard,Non-Refundable + Member,1206215.89,3,1,Walk-in,Confirmed,3618647.67
BKG00174,2024-10-29,2025-01-10,2025-01-16,Standard,Early Bird (> 30 days),1178961.0,6,3,OTA,Confirmed,7073766.0
BKG00175,2024-12-17,2025-01-10,2025-01-14,Standard,Corporate,1522713.07,4,3,OTA,Confirmed,6090852.28
BKG00176,2024-11-14,2025-01-10,2025-01-14,Standard,Early Bird (> 30 days) + Member,1054949.27,4,2,Direct,Confirmed,4219797.08
BKG00177,2024-10-12,2025-01-10,2025-01-14,Standard,Early Bird (> 30 days),1177603.29,4,1,Direct,Confirmed,4710413.16
BKG00178,2024-12-31,2025-01-10,2025-01-14,Standard,Non-Refundable + Member,1197388.43,4,3,Direct,Confirmed,4789553.72
BKG00179,2024-12-30,2025-01-10,2025-01-13,Standard,BAR + Member,1272664.26,3,2,Website,Confirmed,3817992.7800000003
BKG00180,2024-10-25,2025-01-10,2025-01-15,Standard,Early Bird (> 30 days),1244490.89,5,2,Website,Confirmed,6222454.449999999
BKG00181,2024-10-20,2025-01-10,2025-01-14,Standard,Early Bird (> 30 days) + Member,1113588.69,4,2,Website,Cancelled,0.0
BKG00182,2024-12-26,2025-01-10,2025-01-13,Standard,BAR + Member,1199456.9,3,2,Direct,Cancelled,0.0
BKG00183,2024-12-07,2025-01-10,2025-01-11,Standard,Early Bird (> 30 days),1233248.87,1,2,OTA,Confirmed,1233248.87
BKG00184,2024-11-01,2025-01-10,2025-01-14,Deluxe,Early Bird (> 30 days),1292351.22,4,1,OTA,Confirmed,5169404.88
BKG00185,2024-11-22,2025-01-10,2025-01-16,Deluxe,Early Bird (> 30 days),1314787.09,6,3,Website,Confirmed,7888722.540000001
BKG00186,2024-12-06,2025-01-10,2025-01-15,Deluxe,Early Bird (> 30 days),1317275.07,5,2,OTA,Confirmed,6586375.350000001
BKG00187,2024-11-12,2025-01-10,2025-01-11,Deluxe,Early Bird (> 30 days),1347359.96,1,3,OTA,Confirmed,1347359.96
BKG00188,2024-11-05,2025-01-10,2025-01-11,Deluxe,Early Bird (> 30 days),1405524.93,1,3,Website,Confirmed,1405524.93
BKG00189,2024-12-29,2025-01-10,2025-01-12,Deluxe,BAR,1550546.02,2,2,Website,Confirmed,3101092.04
BKG00190,2024-11-11,2025-01-10,2025-01-14,Deluxe,Early Bird (> 30 days) + Member,1254572.58,4,2,Direct,Confirmed,5018290.32
BKG00191,2024-12-06,2025-01-10,2025-01-14,Deluxe,Early Bird (> 30 days),1346520.75,4,2,OTA,Confirmed,5386083.0
BKG00192,2024-12-25,2025-01-10,2025-01-13,Deluxe,BAR,1642412.27,3,2,Website,Confirmed,4927236.8100000005
BKG00193,2024-12-01,2025-01-10,2025-01-13,Deluxe,Early Bird (> 30 days),1410379.45,3,1,Walk-in,Confirmed,4231138.35
BKG00194,2024-11-26,2025-01-10,2025-01-14,Deluxe,Early Bird (> 30 days),1363680.09,4,3,Walk-in,Confirmed,5454720.36
BKG00195,2024-12-30,2025-01-10,2025-01-14,Suite,Corporate,2664717.8,4,2,OTA,Confirmed,10658871.2
BKG00196,2024-12-31,2025-01-10,2025-01-13,Suite,BAR,2313651.86,3,3,OTA,Confirmed,6940955.58
BKG00197,2024-12-31,2025-01-11,2025-01-13,Standard,Non-Refundable,1378900.44,2,3,OTA,Confirmed,2757800.88
BKG00198,2024-12-31,2025-01-11,2025-01-14,Standard,Non-Refundable,1294511.37,3,3,Direct,Confirmed,3883534.1100000003
BKG00199,2024-12-05,2025-01-11,2025-01-15,Standard,Early Bird (> 30 days),1163395.98,4,2,Website,Confirmed,4653583.92
BKG00200,2024-12-24,2025-01-11,2025-01-16,Standard,BAR + Member,1279264.22,5,1,Walk-in,Cancelled,0.0
